Modality,H_0,H_1,H_2,H_inf
"[Acc.z, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",55.0875543609895,27.5746335370388,25.5683917274572,21.1617246002985
"[Acc.x, Acc.y, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",59.1750172022398,27.5720874951801,25.5636336771278,21.1598073973042
"[Acc.y, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",55.0050922007975,27.5605316782316,25.5631098074148,21.1598073973042
"[Acc.x, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",55.0875543609895,27.5579399762356,25.5625559464605,21.1540710277551
"[Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",50.9176293595472,27.5463841592871,25.561718536232,21.1540710277551
"[Acc.x, Acc.y, Light, Temp., Pressure, Mag.x, Mag.y, Gyro.x, Gyro.y, Gyro.z]",65.5877510280845,31.0523383987932,28.5356477076042,21.1373380773768
"[Acc.x, Light, Temp., Pressure, Mag.x, Mag.y, Gyro.x, Gyro.y, Gyro.z]",61.5002881868341,31.0381908798486,28.5340841241187,21.1373380773768
"[Acc.y, Light, Temp., Pressure, Mag.x, Mag.y, Gyro.x, Gyro.y, Gyro.z]",61.4178260266422,31.0407825818447,28.5347084860071,21.1373380773768
"[Light, Temp., Pressure, Mag.x, Mag.y, Gyro.x, Gyro.y, Gyro.z]",57.3303631853918,31.0266350629002,28.5325572768737,21.1373380773768
"[Acc.x, Acc.y, Acc.z, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",63.5196750483202,27.9920574081693,25.9356074931377,21.1252327344584
"[Acc.y, Acc.z, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",59.3497500468779,27.9805015912208,25.9353370604729,21.1252327344584
"[Acc.x, Acc.z, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",59.4322122070698,27.9779098892248,25.9348023998144,21.1194963649092
"[Acc.z, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",55.2622872056275,27.9663540722763,25.9343980980823,21.1194963649092
"[Acc.x, Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.y, Gyro.z]",68.9766858114686,30.173246214206,27.6970133572466,21.1181896469012
"[Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.y, Gyro.z]",64.8067608100263,30.1616903972575,27.6966078549402,21.1181896469012
