Modality,H_0,H_1,H_2,H_inf
"[Grav.x, LinAcc.z]",15.349695895658407,11.246370173038407,7.57984199260596,4.379759089860541
"[Grav.x, Pressure]",11.60733031374961,9.837127926435775,8.386805328795527,5.638208127923503
"[Grav.x, Altitude]",12.533329732305834,9.23078920549004,6.924207225143203,3.9637235310186205
"[Grav.x, Temp.]",9.78790255939143,7.90906552564736,6.635656185972031,3.9697222716400633
"[Grav.y, Grav.z]",10.857980995127573,8.7975114121744,6.492773320216369,4.049270163014466
"[Grav.y, LinAcc.x]",15.605479518061669,10.856707417986993,7.347379483103995,4.225561176069654
"[Grav.y, LinAcc.y]",15.842350343413807,11.025385977173372,7.38474644910613,4.152099014128632
"[Grav.y, LinAcc.z]",15.649256177517314,11.3844200335547,8.073204519665001,4.935565260908001
"[Grav.y, Pressure]",11.90689059560852,9.992280543365403,8.281467180204157,5.282288263323735
"[Grav.y, Altitude]",12.832890014164741,9.399609713789534,6.746522656390299,3.7192659318857393
"[Grav.y, Temp.]",10.087462841250339,8.126076728335864,6.580243142847306,3.7275008765416944
"[Grav.z, LinAcc.x]",14.46346051318924,9.690482594215315,5.699352372213921,3.0821970008984763
"[Grav.z, LinAcc.y]",14.700331338541378,9.90675471347621,5.829168600887352,3.177474241972668
"[Grav.z, LinAcc.z]",14.507237172644885,10.276189424218874,6.448590046160698,3.641196931646056
"[Grav.z, Pressure]",10.76487159073609,8.746052799435239,7.331265200595687,4.851473304970074
"[Grav.z, Altitude]",11.690871009292312,8.093388309991454,6.025632616275568,3.6145180218784025
"[Grav.z, Temp.]",8.945443836377912,6.692246542236571,5.506657777847109,3.6145180218784025
"[LinAcc.x, LinAcc.y]",19.447829861475476,10.43152248906296,5.549874295952872,2.991297806199206
"[LinAcc.x, LinAcc.z]",19.254735695578983,10.777607574996733,6.154127178008429,3.5262261249357403
"[LinAcc.x, Pressure]",15.512370113670187,10.52741846020374,7.893729620847938,4.653817964380471
"[LinAcc.x, Altitude]",16.43836953222641,9.844908936368224,5.967337895740927,3.216171217039409
"[LinAcc.x, Temp.]",13.692942359312008,8.615850759341127,5.775924845645474,3.2184013844967874
"[LinAcc.y, LinAcc.z]",19.49160652093112,10.932920105038136,6.23353669753566,3.5575052914235985
"[LinAcc.y, Pressure]",15.749240939022325,10.732616937667643,7.975088431876892,4.688024021541234
"[LinAcc.y, Altitude]",16.67524035757855,10.050636832744395,6.042044852453101,3.2305042257424788
"[LinAcc.y, Temp.]",13.929813184664146,8.859024960780676,5.860189967531705,3.233207590132908
